               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.076184,            0.029422,                   0,                   0,                   0,                   0,                   0,                   0,            0.017653,                   0,           0.0032456,           0.0032456,            0.070789
                   1,            0.060532,            0.024365,                   0,                   0,                   0,                   0,                   0,                   0,            0.010344,                   0,           0.0064487,           0.0064487,            0.040659
                   2,            0.051197,            0.020105,                   0,                   0,                   0,                   0,                   0,                   0,           0.0062296,                   0,           0.0095198,           0.0095198,            0.010397
                   3,            0.053449,            0.015713,                   0,                   0,                   0,                   0,                   0,                   0,           0.0032037,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.050779,            0.017761,                   0,                   0,                   0,                   0,                   0,                   0,           0.0026379,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.047167,            0.015353,                   0,                   0,                   0,                   0,                   0,                   0,           0.0022625,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.043335,            0.017236,                   0,                   0,                   0,                   0,                   0,                   0,           0.0023232,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.047145,               0.017,                   0,                   0,                   0,                   0,                   0,                   0,            0.002556,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.043113,            0.016116,                   0,                   0,                   0,                   0,                   0,                   0,           0.0027196,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.041479,            0.015002,                   0,                   0,                   0,                   0,                   0,                   0,            0.001925,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.043399,            0.016356,                   0,                   0,                   0,                   0,                   0,                   0,           0.0014572,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.035599,            0.015488,                   0,                   0,                   0,                   0,                   0,                   0,           0.0016797,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.037897,            0.015799,                   0,                   0,                   0,                   0,                   0,                   0,           0.0019149,                   0,            0.007822,            0.007822,            0.007822
                  13,             0.03609,            0.015649,                   0,                   0,                   0,                   0,                   0,                   0,           0.0019711,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.041372,            0.015792,                   0,                   0,                   0,                   0,                   0,                   0,           0.0017215,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.041754,             0.01545,                   0,                   0,                   0,                   0,                   0,                   0,           0.0015941,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.032523,            0.015152,                   0,                   0,                   0,                   0,                   0,                   0,             0.00193,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.034061,            0.016649,                   0,                   0,                   0,                   0,                   0,                   0,           0.0020029,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.037049,            0.016798,                   0,                   0,                   0,                   0,                   0,                   0,           0.0019839,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.032676,            0.014459,                   0,                   0,                   0,                   0,                   0,                   0,           0.0017675,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.029216,             0.01501,                   0,                   0,                   0,                   0,                   0,                   0,           0.0016727,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.034142,            0.015858,                   0,                   0,                   0,                   0,                   0,                   0,           0.0017857,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.033823,            0.015337,                   0,                   0,                   0,                   0,                   0,                   0,           0.0019147,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.033751,            0.013842,                   0,                   0,                   0,                   0,                   0,                   0,           0.0016258,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.036656,            0.015962,                   0,                   0,                   0,                   0,                   0,                   0,           0.0013838,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.032429,            0.015061,                   0,                   0,                   0,                   0,                   0,                   0,           0.0014457,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.030888,            0.013941,                   0,                   0,                   0,                   0,                   0,                   0,           0.0015132,                   0,             0.00505,             0.00505,             0.00505
                  27,            0.032025,            0.014729,                   0,                   0,                   0,                   0,                   0,                   0,           0.0016137,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.032569,            0.014888,                   0,                   0,                   0,                   0,                   0,                   0,           0.0015969,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.035142,            0.015036,                   0,                   0,                   0,                   0,                   0,                   0,           0.0013179,                   0,            0.004456,            0.004456,            0.004456
                  30,             0.03125,            0.013924,                   0,                   0,                   0,                   0,                   0,                   0,           0.0013499,                   0,            0.004258,            0.004258,            0.004258
                  31,            0.029503,            0.013361,                   0,                   0,                   0,                   0,                   0,                   0,           0.0013353,                   0,             0.00406,             0.00406,             0.00406
                  32,            0.028705,            0.013268,                   0,                   0,                   0,                   0,                   0,                   0,           0.0012565,                   0,            0.003862,            0.003862,            0.003862
                  33,             0.03108,            0.015161,                   0,                   0,                   0,                   0,                   0,                   0,           0.0012218,                   0,            0.003664,            0.003664,            0.003664
                  34,             0.02652,            0.014475,                   0,                   0,                   0,                   0,                   0,                   0,           0.0011607,                   0,            0.003466,            0.003466,            0.003466
                  35,            0.027926,              0.0136,                   0,                   0,                   0,                   0,                   0,                   0,            0.001116,                   0,            0.003268,            0.003268,            0.003268
                  36,            0.027671,             0.01374,                   0,                   0,                   0,                   0,                   0,                   0,           0.0011446,                   0,             0.00307,             0.00307,             0.00307
                  37,            0.025791,            0.013378,                   0,                   0,                   0,                   0,                   0,                   0,           0.0011887,                   0,            0.002872,            0.002872,            0.002872
                  38,            0.026921,            0.013476,                   0,                   0,                   0,                   0,                   0,                   0,           0.0012745,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.023051,            0.012961,                   0,                   0,                   0,                   0,                   0,                   0,           0.0012264,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.026648,            0.012883,                   0,                   0,                   0,                   0,                   0,                   0,           0.0011489,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.021961,            0.013589,                   0,                   0,                   0,                   0,                   0,                   0,            0.001164,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.022236,            0.013015,                   0,                   0,                   0,                   0,                   0,                   0,           0.0011186,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.023331,            0.013886,                   0,                   0,                   0,                   0,                   0,                   0,           0.0010701,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.023591,            0.013644,                   0,                   0,                   0,                   0,                   0,                   0,          0.00094743,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.023436,            0.012111,                   0,                   0,                   0,                   0,                   0,                   0,          0.00097394,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.022268,            0.012499,                   0,                   0,                   0,                   0,                   0,                   0,          0.00096607,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.022893,            0.012636,                   0,                   0,                   0,                   0,                   0,                   0,          0.00087818,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.021844,             0.01233,                   0,                   0,                   0,                   0,                   0,                   0,           0.0008649,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.021824,             0.01328,                   0,                   0,                   0,                   0,                   0,                   0,          0.00083539,                   0,            0.000496,            0.000496,            0.000496
